Timestamp_Unix, Timestamp_Hour, Timestamp_Minute, Timestamp_Second, Timestamp_Millisecond, Current_Internal_ADC_A13_Raw, Current_Internal_ADC_A13_Cal, Current_GSR_Raw, Current_GSR_Calculated
1450118328, 18, 38, 48, 567, 55049, 40328.9377289377, 26633, 131.780085393495
1450118328, 18, 38, 48, 567, 2541, 1861.53846153846, 2514, 14.5389622379534
1450118328, 18, 38, 48, 614, 58377, 42767.032967033, 26633, 131.780085393495
1450118344, 18, 39, 4, 863, 2428, 1778.75457875458, 1978, 20.4968854982485
1450118345, 18, 39, 5, 457, 2408, 1764.10256410256, 2018, 19.8886632630534
1450118345, 18, 39, 5, 707, 1324, 969.96336996337, 2391, 15.578071060929
1450118345, 18, 39, 5, 864, 28421, 20821.2454212454, 64521, 906.684239416139
1450118345, 18, 39, 5, 910, 59657, 43704.7619047619, 2313, 16.3176325073348
1450118345, 18, 39, 5, 942, 30469, 22321.6117216117, 1289, 43.3121681205118
1450118346, 18, 39, 6, 67, 28677, 21008.7912087912, 58889, 2482.55385279945
1450118347, 18, 39, 7, 465, 2421, 1773.62637362637, 2047, 19.4697984486465
1450118347, 18, 39, 7, 481, 1322, 968.498168498168, 2432, 15.2155819731871
1450118347, 18, 39, 7, 481, 8427, 6173.62637362637, 1324, 40.9941911231179
1450118347, 18, 39, 7, 527, 30469, 22321.6117216117, 2057, 19.329423635246
1450118347, 18, 39, 7, 559, 1329, 973.626373626374, 2422, 15.3024295667423
1450118347, 18, 39, 7, 574, 30213, 22134.0659340659, 2825, 12.4407509237258
1450118347, 18, 39, 7, 574, 1324, 969.96336996337, 2428, 15.2502024464375
1450118348, 18, 39, 8, 157, 2420, 1772.89377289377, 2068, 19.1773308607361
1450118348, 18, 39, 8, 298, 28421, 20821.2454212454, 4361, -66.1944793804197
1450118348, 18, 39, 8, 345, 28933, 21196.336996337, 4873, 250.588883877111
1450118348, 18, 39, 8, 688, 2417, 1770.69597069597, 2067, 19.1910585020227
1450118348, 18, 39, 8, 704, 29445, 21571.4285714286, 5385, 43.3121681205118
1450118348, 18, 39, 8, 704, 1327, 972.161172161172, 2416, 15.3550156390834
1450118349, 18, 39, 9, 72, 28933, 21196.336996337, 4873, 250.588883877111
1450118349, 18, 39, 9, 72, 1326, 971.428571428571, 2419, 15.3286775030197
1450118352, 18, 39, 12, 784, 2433, 1782.41758241758, 2069, 19.1636228445715
1450118352, 18, 39, 12, 799, 32517, 23821.978021978, 5385, 43.3121681205118
1450118352, 18, 39, 12, 815, 33285, 24384.6153846154, 6153, 19.329423635246
1450118354, 18, 39, 14, 663, 5385, 3945.05494505494, 64776, 820.244419713164
1450118354, 18, 39, 14, 663, 2073, 1518.68131868132, 2537, 14.3598521509623
1450118355, 18, 39, 15, 63, 64979, 47603.663003663, 12578, -70.5492257222477
1450118355, 18, 39, 15, 738, 55817, 40891.5750915751, 49673, -15642.5489846421
1450118355, 18, 39, 15, 785, 33541, 24572.1611721612, 4361, -66.1944793804197
1450118355, 18, 39, 15, 800, 1334, 977.289377289377, 2436, 15.1811183322631
1450118355, 18, 39, 15, 925, 9281, 6799.2673992674, 1335, 40.3160780519271
1450118358, 18, 39, 18, 457, 2427, 1778.02197802198, 2059, 19.3015912231804
1450118362, 18, 39, 22, 427, 2389, 1750.18315018315, 50378, 3884.84088468704
1450118363, 18, 39, 23, 407, 33029, 24197.0695970696, 2313, 16.3176325073348
1450118363, 18, 39, 23, 422, 1325, 970.695970695971, 2434, 15.1983306153652
1450118363, 18, 39, 23, 766, 2460, 1802.1978021978, 2028, 19.7422062705196
1450118379, 18, 39, 39, 445, 2435, 1783.88278388278, 2025, 19.7859163847174
1450118379, 18, 39, 39, 507, 1335, 978.021978021978, 2433, 15.2069514016247
1450118380, 18, 39, 40, 257, 22323, 16353.8461538462, 16176, 8.33118805240984
1450118380, 18, 39, 40, 664, 2027, 1484.98168498168, 2559, 14.1926107591344
1450118381, 18, 39, 41, 110, 34821, 25509.8901098901, 60425, 906.684239416139
1450118381, 18, 39, 41, 141, 34565, 25322.3443223443, 60937, 748.34089082799
1450118381, 18, 39, 41, 250, 1336, 978.754578754579, 2439, 15.1553728827944
1450118381, 18, 39, 41, 547, 35333, 25884.9816849817, 59401, 1571.88068922567
1450118381, 18, 39, 41, 563, 35077, 25697.4358974359, 60425, 906.684239416139
1450118385, 18, 39, 45, 203, 2493, 1826.37362637363, 1919, 21.4651234673902
1450118385, 18, 39, 45, 484, 1390, 1018.31501831502, 2550, 14.2605545929681
1450118385, 18, 39, 45, 983, 61189, 44827.1062271062, 61705, -5536.70001605643
1450118386, 18, 39, 46, 171, 4613, 3379.48717948718, 61450, -3368.79552084948
1450118386, 18, 39, 46, 483, 2542, 1862.27106227106, 2088, 18.9068440884916
1450118386, 18, 39, 46, 991, 2541, 1861.53846153846, 2101, 18.7350821908056
1450118387, 18, 39, 47, 460, 1394, 1021.24542124542, 2531, 14.4061496971827
1450118387, 18, 39, 47, 475, 32820, 24043.956043956, 54789, 2493.84145851819
1450118387, 18, 39, 47, 569, 56325, 41263.7362637363, 22537, 131.780085393495
1450118388, 18, 39, 48, 426, 1391, 1019.04761904762, 2530, 14.413894994775
1450118389, 18, 39, 49, 75, 1406, 1030.03663003663, 2528, 14.4294106018651
1450118389, 18, 39, 49, 122, 52979, 38812.4542124542, 31285, 94.4215734410998
1450118392, 18, 39, 52, 129, 46089, 33764.8351648352, 14601, 16.3176325073348
1450118402, 18, 40, 2, 273, 52489, 38453.4798534799, 15369, 11.1197845430547
