Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,1,0,895.8063406786,0.3856887519,894.8798802074,0.9263813148,-0.3765868553,901.5621970953,NaN,NaN,NaN,0,0,400.3125,1,0,40346.9234979558,-100,22.9016623105
1,1,2,Psi,-1,0,467.462297945,0.8020380798,351.9786925369,0.5454875652,0.8381189153,1121.3378818197,NaN,NaN,NaN,560.6689409098,2,550.9903381643,5,0,40346.9234979558,-100,0.9533969813
1,1,2,Psi,0,-1,354.6829570194,1.1955255039,296.9511744378,0.1818480769,0.983326638,796.1731188924,NaN,NaN,NaN,796.1731188924,1,609.905982906,2,0,40346.9234979558,-100,23.4985656737
1,1,3,Pound,0.4472135955,-0.894427191,436.3542139134,0.7675718509,226.3448696127,0.689213766,0.7245580617,1239.0005764437,NaN,NaN,NaN,1239.0005764437,1,609.3362831858,4,0,40346.9234979558,-100,1.0213724704
1,1,4,Infinity,1,0,473.2060861823,0.4787693296,15.5241746963,-0.9662349396,0.2576626506,1230.5573203824,NaN,NaN,NaN,1230.5573203824,1,724.1037037037,1,17.7079847074,40346.9234979558,-99.956110694,17.5685380536
1,2,1,Line,1,0,472.5526425701,0.3431662892,467.8471972771,0.9404780077,-0.3398545528,482.5362380778,NaN,NaN,NaN,482.5362380778,1,627.7285714286,1,0,40346.9234979558,-100,25.3380199577
1,2,2,Infinity,0,1,356.5529413706,0.4373048961,7.6157731059,-0.3939192986,0.91914503,919.1615805539,NaN,NaN,NaN,919.1615805539,1,682.984,1,0,40346.9234979558,-100,19.9442750931
1,2,3,Pound,0.5547001962,-0.8320502943,436.0275220671,0.739974884,289.2542134525,0.6153756513,0.7882339803,1203.0763267714,NaN,NaN,NaN,601.5381633857,2,622.0602409639,4,0,40346.9234979558,-100,2.6025622011
1,2,4,Psi,0,-1,325.1292050862,1.10164671,292.2635796674,0.249774536,0.9683040231,744.7657234532,NaN,NaN,NaN,744.7657234532,1,659.4710743802,2,0,40346.9234979558,-100,18.1197069975
1,3,1,Infinity,0,1,258.7856255668,0.5762132248,16.2788205961,-0.6757246285,0.7371541402,739.9432637062,NaN,NaN,NaN,369.9716318531,2,740.2326732673,1,0,40346.9234979558,-100,11.9854141193
