Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,23219.7750708453,-100
0,23219.7750708453,-100
3089.9888713313,23219.7750708453,-86.6924254783
25.2686052741,23219.7750708453,-99.8911763564
8.4360492632,23219.7750708453,-99.9636686866
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
605.4507955928,23219.7750708453,-97.3925208416
-1577.7847901546,23219.7750708453,-106.7950046258
0,23219.7750708453,-100
0,23219.7750708453,-100
22.576839487,23219.7750708453,-99.9027689139
0,23219.7750708453,-100
0,23219.7750708453,-100
601.4001185403,23219.7750708453,-97.4099657869
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
-46.0882026194,23219.7750708453,-100.1984868608
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
1439.8371256244,23219.7750708453,-93.799090985
0,23219.7750708453,-100
0,23219.7750708453,-100
300.3405702952,23219.7750708453,-98.7065310952
289.9130020131,23219.7750708453,-98.7514392317
20.928908683,23219.7750708453,-99.9098660146
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
75.2400156499,23219.7750708453,-99.675965786
0,23219.7750708453,-100
0,23219.7750708453,-100
-1612.1231662099,23219.7750708453,-106.9428888148
866.5420690211,23219.7750708453,-96.2680858605
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
753.605596818,23219.7750708453,-96.7544664213
10.7196302156,23219.7750708453,-99.953834048
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
649.1450305546,23219.7750708453,-97.2043440189
0,23219.7750708453,-100
0,23219.7750708453,-100
166.2558515952,23219.7750708453,-99.2839902579
-327.0233007714,23219.7750708453,-101.4083827245
517.1214517536,23219.7750708453,-97.7729265242
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
600.6309301402,23219.7750708453,-97.4132784305
0,23219.7750708453,-100
0,23219.7750708453,-100
-645.2332886891,23219.7750708453,-102.7788093843
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
608.2129501207,23219.7750708453,-97.3806251427
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
193.9152507115,23219.7750708453,-99.1648702448
191.0441160718,23219.7750708453,-99.1772352855
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
320.3420245184,23219.7750708453,-98.6203913537
668.0132942776,23219.7750708453,-97.1230845594
356.3266907739,23219.7750708453,-98.4654171296
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
487.669866829,23219.7750708453,-97.8997648972
566.0636607537,23219.7750708453,-97.5621483885
0,23219.7750708453,-100
1266.1723788695,23219.7750708453,-94.5470084228
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
879.77906988,23219.7750708453,-96.211078414
-169.3284182916,23219.7750708453,-100.729242285
224.2653248072,23219.7750708453,-99.0341623718
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
7.4952918605,23219.7750708453,-99.9677202219
1788.4158139503,23219.7750708453,-92.2978762348
0,23219.7750708453,-100
808.814677774,23219.7750708453,-96.5166989116
0,23219.7750708453,-100
0,23219.7750708453,-100
379.1181711339,23219.7750708453,-98.3672616553
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
14.3118145089,23219.7750708453,-99.9383636815
654.4194569077,23219.7750708453,-97.1816287845
558.0217538029,23219.7750708453,-97.5967822595
27.3818168747,23219.7750708453,-99.8820754431
0,23219.7750708453,-100
0,23219.7750708453,-100
-2484.6193477215,23219.7750708453,-110.7004453753
0,23219.7750708453,-100
0,23219.7750708453,-100
26.0038797789,23219.7750708453,-99.8880097688
-627.6295011885,23219.7750708453,-102.7029956116
439.0732016202,23219.7750708453,-98.1090548884
50.9702181016,23219.7750708453,-99.7804878904
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
54.1950067048,23219.7750708453,-99.7665997774
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
226.1638726061,23219.7750708453,-99.0259859455
531.6285370634,23219.7750708453,-97.710449238
0,23219.7750708453,-100
0,23219.7750708453,-100
0,23219.7750708453,-100
607.8981515248,23219.7750708453,-97.3819808776
516.6422209141,23219.7750708453,-97.7749904151
594.4596361907,23219.7750708453,-97.4398561813
